bank,swiftcode
BANCO DO ESTADO DO RIO GRANDE DO SUL-MIAMI BRANCH,BRGSUS33XXX
ALWATANY BANK OF EGYPT,WABAEGCXSOH
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXSOH
NATIXIS,CCBPFRPPTSY
NATIONAL BANK OF GREECE  (EGYPT NETWORK),ETHNEGCAXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44DXI
THE HIGO BANK LIMITED,HIGOJPJTXXX
ARCELOR TREASURY SNC,USINFRPPXXX
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCA0C2
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX371
CITY MORTGAGE BANK OOO,CMBBRUMMXXX
LATVIAN BUSINESS BANK  JOINT STOCK COMPANY,MOSBLV2XXXX
ANZ BANK(VIETNAM) LIMITED,ANZBVNVX472
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX220
EL TADAMOUN EL ARABI BROKERAGE COMPANY,TDAREGCAXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL062
ABE CLEARING SAS/EBA CLEARING (SYSTEM OPERATOR),EBAPFRPSXXX
THE NISHI-NIPPON CITY BANK  LTD,NISIJPJTFKK
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX125
CHINFON COMMERCIAL BANK,CFCBVNVXXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXSHD
CAISSE D'EPARGNE DE LORRAINE,CEPAFRPP545
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAALF
DRESDNER BANK ZAO,DRESRU2XMOS
QATAR DEVELOPMENT BANK,QIDBQAQAXXX
BANQUE PSA FINANCE SA,PSABFRPPXXX
EVRAZBANK OOO,EVRARUMMXXX
BANGKOK BANK PUBLIC COMPANY LIMITED  NEW YORK,BKKBUS33XXX
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,AGIGUS33MKT
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM002
AHLI BANK Q.S.C.,ABQQQAQAAIR
GLOBAL PETRO COMMERCIAL JOINT STOCK BANK,GBNKVNVXXXX
HSBC FRANCE,CCFRFRPP170
BANK FINSERVICE JSC,KOMXRUMMXXX
FIRST TENNESSEE BANK N.A.,FTBMUS44CAP
HSBC FRANCE,CCFRFRPP140
MCSD MISR FOR CLEARING DEPOSITORY AND REGISTRY,MCSDEGCAXXX
ALTA-BANK ZAO,ALTKRUMMXXX
APOLLO BANK,UCBMUS3MXXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXGLF
EGYPTIAN ARAB LAND BANK,ARLBEGCAXXX
BANK MELLI IRAN,MELIFRPPXXX
AICHI BANK  LTD.  THE,AICHJPJNXXX
ARAB INVESTMENT BANK,AINBEGCANSR
HSBC PRIVATE BANK FRANCE,BLICFRPXXXX
EVROPEISKY INVESTMENT COMMERCIAL BANK,EVICRU2KXXX
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2ANIM
BANK OF ALGERIA,BALGDZALXXX
CREDIT AGRICOLE SECURITIES ASIA B.V.,CRLYJPJ9XXX
GOLDMAN SACHS MITSUI MARINE DERIVATIVE PRODUCTS  L.P.,GSMMUS33XXX
AGROINKOMBANK,AGRBRU3AXXX
CREDIT DU MAROC - SUCCURSALE DE PARIS,CDMAFRPXXXX
VEOLIA ENVIRONNEMENT SA,VEOEFRPPXXX
BNP PARIBAS ARBITRAGE,BNABFRPPOST
LA BANQUE POSTALE,PSSTFRPPAJA
NATIONAL BANK OF ABU DHABI,NBADEGCASHK
FIFTH THIRD BANK,FTBCUS3CCUS
FIRST HAWAIIAN BANK,FHBKUS77XXX
BFT - BANQUE DE FINANCEMENT ET DE TRESORERIE SA,BFTRFRPPXXX
SOFAX BANQUE,SFAXFRPPXXX
GOLDMAN  SACHS AND CO.,GOLDUS33004
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL038
MONTE PASCHI BANQUE S.A.,MONTFRPPXXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXMOH
CAISSE DES DEPOTS ET CONSIGNATIONS,CDCGFRPPFRR
CAIXA D'ESTALVIS DE CATALUNYA,CESCFR2XXXX
CHELINDBANK,CHLBRU4C795
BANQUE DU CAIRE,BCAIEGCXXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44DFT
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL055
HSBC BANK PLC,MIDLFRCP111
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX223
GOLDMAN SACHS ASSET MANAGEMENT,GSAMUS33GSS
AL SHOROUK BROKERAGE CO.,ALSHEGCAXXX
BANCA CARIGE SPA,CRGEFR2XXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCADIM
SURUGA BANK  LTD.  THE,SRFXJPJTXXX
SUEZ CANAL BANK,SUCAEGCXMOH
SUEZ CANAL BANK,SUCAEGCXCAI
LYXOR INTERNATIONAL ASSET MANAGEMENT,LIMXFRPPXXX
BRED BANQUE POPULAIRE,BREDFRPPFDF
ALEKSANDROVSKY BANK,ITEHRU2PXXX
BLOM BANK FRANCE,BLOMFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CD3
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33EDI
CITIBANK N.A.,CITIVNVXHCM
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CES
ARAB INTERNATIONAL BANK,ARIBEGCX001
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPPTG2
EURONEXT PARIS S.A.,XPARFRPPLIS
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL051
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL084
CREDIT AGRICOLE CHEUVREUX,CHVIFRPP536
ECONOMIC GROUP,ECGPEGCAXXX
BANCO DE LA NACION ARGENTINA  MIAMI BRANCH,NACNUS3MXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXASW
FREDDIE MAC,FMACUS3WXXX
SUEZ CANAL BANK,SUCAEGCXALX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44FDF
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX122
CAISSE D'EPARGNE AQUITAINE POITOU CHARENTES,CEPAFRPP333
IFA SECURITIES BROKERAGE,IFASEGCAXXX
BANK URAL FD,JSCORU4PPRM
COMMERCIAL BANK SUMMIT BANK OPEN JOINT STOCK COMPANY,CBBORU8VXXX
DEUTSCHE BANK AG,DEUTFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL040
PUNJAB NATIONAL BANK,PUNBAFKAXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAOCT
BANK OF AMERICA  TOKYO,BOFAJPJXXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXTAN
BALTIK DEVELOPMENT BANK,BADJRUMMXXX
CREDITIMPEX BANK,CIPXRUMMXXX
BANQUE D'ORSAY,BQORFRCCXXX
CAPITAL ZAO,JSBCRU4NXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCACAI
BNP PARIBAS LE CAIRE,BNPAEGCXHEL
CANTOR FITZGERALD AND CO.,CANFUS33FIN
UNION TUNISIENNE DE BANQUES,UTUBFRPPMAR
SHINHAN BANK JAPAN,SHBKJPJXFUK
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCACAI
HSBC FRANCE,CCFRFRPP210
AGROSOYUZ BANK,AGSZRU33XXX
FIRST JOINT STOCK COMMERCIAL BANK,FJCBVNVXXXX
BANCO DE LA NACION ARGENTINA,NACNUS33XXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXBUS
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX601
JSC LATVIJAS KRAJBANKA,UBALLV2XXXX
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXDKI
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33GPS
MEDICAPITAL BANK PLC  SUCCURSALE EN FRANCE,BMCEFRPPXXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXOCT
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTOSA
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL076
CIBC ALLIANCE GROUP,CIBGRUMMXXX
DEUTSCHE SECURITIES INC.,DEUTJPJ9EQT
BANCO SANTANDER S.A.,BSCHFRPPXXX
ARAB BANK PLC,ARABEGCXSHO
THE LATVIA BRANCH OF BANK SNORAS,SNORLV22XXX
FAURECIA,FAURFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CFL
COMMERZBANK AG  PARIS BRANCH (FORMERLY DRESDNER BANK AG  PARIS BRANCH),DRESFRPXXXX
INVESCO GESTION,INVZFRPPXXX
AF BANK,BKAFRUMMXXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM011
ANZ BANK(VIETNAM) LIMITED,ANZBVNVXXXX
ARAB BANK PLC,ARABEGCXRMD
SUMISHO COMPUTER SYSTEMS CORPORATION,SCSJJPJTXXX
BANCO DE SABADELL,BSABFRPPXXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMMXXX
EUROCOMMERCE BANK,ECOMRU22XXX
SUEZ CANAL BANK,SUCAEGCXSHR
MORTGAGE AND LAND BANK OF LATVIA,LHZBLV22XXX
ELECTRO BANQUE,ELBAFRPPXXX
DAIWA SECURITIES CAPITAL MARKETS CO.LTD.,DWSCJPJTJSS
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXMAA
CREDIT SUISSE SECURITIES (JAPAN) LTD.,CSFBJPJXXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44EVL
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44KFI
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA050
BANK PRIME FINANCE,PRFNRU2PXXX
CAISSES D'EPARGNE PARTICIPATIONS,HLCEFRPPXXX
UNICREDITO ITALIANO SPA - SUCCURSALE DE PARIS,UNCRFRPPXXX
EFG BANQUE PRIVEE,EFGBFRPPXXX
AVERS BANK,BKAVRU2KXXX
LVMH - MOET HENNESSY LOUIS VUITTON,LVMHFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL001
CRC MARIT MUT ATLANTIQUE,CCBPFRPP219
EGYPTIAN GULF BANK,EGGBEGCAHSC
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX701
BANQUE MARTIN-MAUREL,BMMMFRCPXXX
LA BANQUE POSTALE ASSET MANAGEMENT,LBGAFRPPXXX
BANQUE MISR,BMISEGCXALX
UBS (FRANCE) S.A.,UBSWFRPPXXX
CAPITAL GUARDIAN TRUST COMPANY,CGTCUS66XXX
EGYPTIAN ARAB LAND BANK,ARLBEGCADOK
BARWA BANK,BRWAQAQAXXX
UNIVERSAL SECURITIES EXCHANGE FOR BROKERAGE,UNSBEGCAXXX
SHONAI BANK  LTD.  THE,SNAIJPJTXXX
NATIXIS,CCBPFRPP901
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXASU
ARAB BANKING CORPORATION EGYPT,EAABEGCX005
BANK NEGARA INDONESIA (PERSERO)  PT.  TOKYO BRANCH,BNINJPJTXXX
EKATERINBURG BANK,EKNCRU4EXXX
NORDEA BANK FINLAND PLC LATVIA BRANCH,NDEALV2XXXX
EGYPTIAN GULF BANK,EGGBEGCAAHN
EURO-VL,EUVLFRPPXXX
FIDELITY SERVICE CO,FIDQUS3BTRE
SUEZ CANAL BANK,SUCAEGCXRAM
BALTIYSKIY BANK,BABJRU2PXXX
CITY INVEST BANK,CITVRU2PXXX
BANQUE DELUBAC ET CIE,DELUFR22XXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CFB
DOHA SECURITIES MARKET,DSMDQAQAXXX
LA BANQUE POSTALE,PSSTFRPPSTR
ARES MANAGEMENT LLC,ARNLUS66XXX
JPMORGAN CHASE BANK  N.A.,CHASFRPBXXX
NATIONAL BANK OF ABU DHABI,NBADEGCAHLP
CHINATRUST COMMERCIAL BANK  TOKYO BRANCH,CTCBJPJTXXX
ARAB BANK PLC,ARABQAQAXXX
FIRST TENNESSEE BANK N.A.,FTBMUS44CHA
SAUDI EGYPTION CO. FOR SECURITIES BROKERAGE,SEFTEGCAXXX
SUMITOMO TRUST AND BANKING COMPANY  LTD.  THE,STBCJPJTSBS
CALYON,CRLYVNVXXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CFC
ARAB BANKING CORPORATION - ALGERIA,ABCODZALXXX
CHARLES SCHWAB AND CO.  INC.,CSCHUS6SGLB
THE BANK OF KOCHI  LIMITED,KOTIJPJZXXX
GOLDMAN  SACHS AND CO.,GOLDUS33006
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX032
NATIONAL BANK OF ABU DHABI,NBADEGCALUX
BANK SEPAH,SEPBFRPPXXX
BANCOMER TRANSFER SERVICES INC.,BTSIUS44BFX
BANQUE POPULAIRE DU NORD,CCBPFRPPLIL
LA BANQUE POSTALE,PSSTFRPPPAR
AMERICAN FIRST NATIONAL BANK,AFNBUS4HXXX
ARAB BANK PLC,ARABEGCXZMK
AVANGARD BANK,AVJSRUMMXXX
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXOCT
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM010
CHUGOKU BANK  LTD.  THE,CHGKJPJZXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44AAM
CHINATRUST COMMERCIAL BANK,CTCBUS33XXX
DEUTSCHE BANK AG,DEUTFRPPSEC
DELTA RASMALA SECURITIES,DESGEGCAXXX
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCXBKO
AIZKRAUKLES BANKA,AIZKLV22XXX
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXHLW
TEAM FOR STOCK EXCHANGE,TESEEGALXXX
BANCO ITAU EUROPA INTERNATIONAL,ITAUUS3MXXX
CHINATRUST COMMERCIAL BANK  HO CHI MINH CITY BRANCH,CTCBVNVXXXX
GURANTEE FOR BROKERAGE,GRNTEGCAXXX
CREDIT AGRICOLE EGYPT,AGRIEGCXXXX
HA BROKERAGE COMPANY,HABCEGCAXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXITD
ARAB BANKING CORPORATION EGYPT,EAABEGCX008
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXAZH
GRAND INVESTMENT SECURITIES,GRICEGCAXXX
BANK OF NAGOYA  LTD.   THE,NAGOJPJNXXX
DEUTSCHE BANK OOO,DEUTRUMMXXX
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCXPOS
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXALF
CB HOLDING-CREDIT OOO,HOCCRUMMXXX
NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC  PARIS BRANCH,NBOKFRPPXXX
HSBC BANK MIDDLE EAST LIMITED,BBMEQAQXXXX
NATIXIS,CCBPFRPP903
EUROCREDIT COMMERCIAL BANK LTD LIABILITY COMPANY,ECLYRUMMXXX
EUROPEENE DE GESTION PRIVEE,EUGPFR22XXX
LA BANQUE POSTALE,PSSTFRPPSCE
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXAZH
MISR IRAN DEVELOPMENT BANK,MIDBEGCXUNV
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX615
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33SSP
BANQUE MISR,BMISEGCX101
ARAB BANK PLC,ARABEGCXTHR
SUEZ CANAL BANK,SUCAEGCXOCU
ALWATANY BANK OF EGYPT,WABAEGCXSAR
BLOM BANK EGYPT S.A.E.,MRBAEGCX023
BANK OF JAPAN,BOJPJPJTMF1
A/S AKCIJU KOMERCBANKA BALTIKUMS,CBBRLV22XXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM013
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33FID
SUEZ CANAL BANK,SUCAEGCXBRG
ASSOTSIATSIYA BANK,ASOJRU2NXXX
CROCUSBANK,CROKRUMMXXX
ARAB BANK PLC,ARABEGCXSHR
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX710
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXNRS
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CID
ADP CLEARING AND OUTSOURCING SERVICES INC.,ADPCUS33XXX
CAISSE D'EPARGNE BRETAGNE PAYS DE LOIRE,CEPAFRPP444
EUROCLEAR FRANCE,SICVFRPPEF1
EUROCLEAR FRANCE,SICVFRPPXXX
MUBASHER TRADE,MUBREGCAXXX
ATTIJARIWAFA BANK,BCMAFRPPXXX
BANCO ESPANOL DE CREDITO,ESPCUS3NXXX
FRANSABANK FRANCE S.A.,FRAFFRPPXXX
THE NOMURA TRUST AND BANKING CO.  LTD.,NMTBJPJTFXO
DAISAN BANK  LTD.  THE,DSBKJPJTXXX
CAPITAL ONE N.A.,HIBKUS44XXX
BGFI INTERNATIONAL,BGFIFRPPXXX
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),GSTRUS33FAT
SMBC FRIEND SECURITIES CO.  LTD,YAMTJPJTXXX
CREDIT AGRICOLE,AGRIFRPPXXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM007
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPPMMO
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX123
UNION NATIONAL BANK-EGYPT S.A.E.,ALECEGALPSD
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL097
EKATERININSKIJ APB OAO,EKATRUMMXXX
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2AMPL
DEXIA CREDIT LOCAL,CLFRFRPPXXX
ARAB BANK PLC ALGERIA,ARABDZALXXX
AFGHANISTAN INTERNATIONAL BANK,AFIBAFKAXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CTD
RBS SECURITIES JAPAN LIMITED  TOKYO BRANCH,NWSJJPJTXXX
BNP PARIBAS EQUITIES FRANCE,DBZEFRPPACC
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX620
BTA - KAZAN BANK,BTKZRU2KXXX
BANK LEUMI USA,LUMIUS3NLAX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM016
SUMITOMO MITSUI BANKING CORPORATION,SMBCJPJTCST
CAISSE NATIONALE DES CAISSES D'EPARGNE ET DE PREVOYANCE,CEPAFRPP950
AL KHALIJI FRANCE S.A.,LICOFRPPXXX
ALWATANY BANK OF EGYPT,WABAEGCXCOR
AMERICAN INTERNATIONAL GROUP,AIGXUS33XXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA002
BANQUE LEHMAN BROTHERS S.A.  PARIS,SLBSFRPPXXX
ALLY FINANCIAL INC,ALYIUS33QTM
BANCO BPI  PARIS,BBPIFRPPXXX
ALWATANY BANK OF EGYPT,WABAEGCXHEL
ALWATANY BANK OF EGYPT,WABAEGCXRML
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXAX2
FIRST TENNESSEE BANK N.A.,FTBMUS44XXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44GLC
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX110
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTFUK
ARAB INTERNATIONAL BANK,ARIBEGCXXXX
BANK OF CHINA  PARIS BRANCH,BKCHFRPPXXX
SUEZ CANAL BANK,SUCAEGCXSMH
COMMERCIAL BANK SVENSKA HANDELSBANKEN (CLOSED JOINT STOCK COMPANY),HANDRUMMXXX
BANQUE MISR,BMISEGCX105
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM003
CAISSE D'EPARGNE LOIRE CENTRE,CEPAFRPP450
NOMURA ASSET MANAGEMENT CO.  LTD.,NAMKJPJTBFT
BANK OF CHINA,BKCHJPJTNGY
QATARGAS OPERATING CO LTD,QAQGQAQAXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL080
BANK OF CYPRUS COMMERCIAL BANK LLC,BCYPRUMMXXX
BANK JUGRA,JUGRRUMMXXX
BALTIKA BANK ZAO,BBNKRU2KXXX
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXSHP
NATIONAL BANK OF OMAN (SAOG),NBOMEGCXXXX
SUMITOMO TRUST AND BANKING COMPANY  LTD.  THE,STBCJPJTXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA057
GHAZANFAR BANK,GHBKAFKAXXX
COMMERCIAL BANK NOYABRSKNEFTEKOMBANK,NOYBRU5NXXX
UNION TUNISIENNE DE BANQUES,UTUBFRPPPYR
COMMERCIAL BANK OF INDIA OOO,CODLRUMMXXX
SUMITOMO MITSUI BANKING CORPORATION,SMBCJPJTOSA
MAIWAND BANK,MWBKAFKAXXX
CALYON,CAINVNVXXXX
FULTON BANK  N.A.,FLBKUS33XXX
GLASS LEWIS AND CO  LLC,GLLLUS6SXXX
GOLDMAN  SACHS AND CO.,GOLDUS33CLS
AS SMP BANK,MULTLV2XXXX
BANQUE LEHMAN BROTHERS,SLBSFRCCXXX
FAR EASTERN BANK OAO,FAEBRU8VXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA001
EBI SA,ECOCFRPPXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX011
ROTHSCHILD AND CIE BANQUE,RCBPFRPPXXX
BANQUE THEMIS (FORMERLY BANQUE DE L'ILE DE FRANCE - B.D.E.I.),BDEIFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CAM
LLOYDS TSB BANK PLC  PARIS,LOYDFRPPXXX
MASRAF AL RAYAN,MAFRQAQAXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCAASW
LAMINES MARCHANDS EUROPEENS,LMEFFR22XXX
BANQUE PALATINE (FORMERLY BANQUE SANPAOLO),BSPFFRPPXXX
STATE BANK OF INDIA,SBINJPJTXXX
BANQUE MISR,BMISEGCX107
ASAHI SHINKIN BANK  THE,ASKBJPJTXXX
BANK OF ALGERIA,BALGDZAPXXX
ABBEY NATIONAL SECURITIES INC.,ANSSUS33XXX
LA BANQUE POSTALE,PSSTFRPPCHA
BSI-IFABANQUE SA,IFABFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44ATA
AIG FINANCIAL PRODUCTS CORP.,AIGFUS33XXX
CITY EXCHANGE CO. W.L.L,CECQQAQAXXX
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXDMN
BANQUE D'ORSAY,BQORFRPPXXX
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCXBES
INTESA SANPAOLO SPA,BCITFRPPXXX
CREDIT COOPERATIF,CCOPFRCPXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL031
NATIONAL BANK OF ABU DHABI,NBADEGCASPT
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX741
BANK ORENBURG OAO,ORBGRU3SXXX
ARAB BANKING CORPORATION EGYPT,EAABEGCX002
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXBNH
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL103
FIDELITY SERVICE CO,FIDQUS3PXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXOCT
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL043
RCIBANQUE S.A.,RCINFRPPXXX
BANQUE MISR,BMISEGCX372
BNP PARIBAS LE CAIRE,BNPAEGCXDOK
STATE STREET TRUST AND BANKING COMPANY LIMITED,SSTBJPJXIMS
AL ROWAD FOR SECURITIES BROKERAGE,ROADEGCAXXX
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXZMK
BANCO BILBAO VIZCAYA ARGENTARIA  NEW YORK,BBVAUS33XXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44KXH
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX518
ROYAL BANK OF SCOTLAND PLC (FORMER ABN AMRO BANK N.V.),ABNAJPJTXXX
BANK OF NOVA SCOTIA THE,NOSCEGCAXXX
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCXCCP
CREDIT COOPERATIF,CCOPFRPPXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCAHRG
SAIKYO BANK LTD.  THE,SAKBJPJZXXX
BANQUE POPULAIRE DU SUD,CCBPFRPPPPG
CAISSE D'EPARGNE DE PICARDIE,CEPAFRPP802
THE BANK OF NEW YORK MELLON TRUST (JAPAN)  LTD,IRVTJPJTXXX
ARAB BANK PLC,ARABEGCXNOZ
COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,CIBEEGCXXXX
HSBC FRANCE,CCFRFRPP209
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX128
ALWATANY BANK OF EGYPT,WABAEGCXZIZ
COMMERCIAL BANK OF MOSCOW,CBMWRUMMXXX
SGAM BANQUE (FORMERLY BAREP BANQUE),RPLAFRPPXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAAKD
CREDIT AGRICOLE CHEUVREUX,CHVIFRPPXXX
ALJAZEERA EXCHANGE COMPANY,AEXCQAQAXXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXBRG
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX012
NATIXIS,CCBPFRPP923
BANQUE MISR,BMISEGCX371
EAST-EUROPEAN TRUST BANK,ETRURUMMXXX
NAEEM BROKERAGE,NAEEEGCAXXX
CENTRAL TANSHI CO.  LTD.,CTRLJPJTXXX
COMPAGNIE FINANCIERE EDMOND DE ROTHSCHILD BANQUE  LA,COFIFRPPXXX
BNP PARIBAS EQUITIES FRANCE,DBZEFRPPCRI
FIDELITY SERVICE CO,FIDQUS3BCFO
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX048
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44HLP
HABIB BANK LIMITED,HABBFRPPXXX
BANQUE DE SAVOIE S.A.,BSAVFR2CXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCAHIL
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44FOH
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44MMF
SHINHAN BANK JAPAN,SHBKJPJXOSK
FIRST INTERCONTINENTAL BANK,FIEBUS3AXXX
SHIMIZU BANK LTD.  THE,SMZGJPJTXXX
ARAB INTERNATIONAL BANK,ARIBEGCX002
BNP-PARIBAS SA,BNPAFRPPXXX
BANCO DEL PICHINCHA - MIAMI AGENCY,PICHUS3MXXX
ARAB BANKING CORPORATION EGYPT,EAABEGCXXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX390
CAISSE D'EPARGNE DE HAUTE NORMANDIE,CEPAFRPP769
BNP PARIBAS ZAO  MOSCOW,BNPARUMMXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXTAN
MISR IRAN DEVELOPMENT BANK,MIDBEGCXMAD
HSBC BANK (VIETNAM) LTD.,HSBCVNVX004
BANK ROSSIYSKY KAPITAL,ROSKRUMMXXX
