bank,city,branch,swiftcode
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,ASWAN,(ASWAN BRANCH),BDACEGCA097
EGYPTIAN ARAB LAND BANK,PORT SAID,,ARLBEGCAPOR
DOHA BANK,DOHA,,DOHBQAQAXXX
BORAK SECURITIES COMPANY,CAIRO,,BORAEGCAXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE DE TIZI OUZOU),BEXADZAL034
UNION NATIONAL BANK-EGYPT S.A.E.,ALEXANDRIA,(GLEEM BRANCH),ALECEGALGLY
EGYPTIAN SAUDI FINANCE BANK,GIZA,(LC DEPARTMENT),TAMSEGCALCG
MERCEDES-BENZ FINANCIAL SERVICES,BAILLY,,DFSDFR22XXX
BANQUE POPULAIRE LORRAINE CHAMPAGNE,METZ,,CCBPFRPPMTZ
AIRBUS SAS,BLAGNAC,,AIRBFR22XXX
CAPITAL GUARDIAN TRUST COMPANY,"BREA,CA",,CGTCUS66XXX
COMMERCIAL BANK MAST BANK (JOINT STOCK COMPANY),MOSCOW,,CMASRUMMXXX
EULER HERMES SFAC CREDIT,PARIS,,EHSCFR2PXXX
ARAB BANK PLC,CAIRO,(EL-HEGAZ BRANCH),ARABEGCXHGZ
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",HO CHI MINH CITY,(HO CHI MINH CITY BRANCH),BOTKVNVXXXX
PREMIERE SECURITIES,GIZA,,PRSREGCAXXX
"FORTIS BANK SA/NV, PARIS BRANCH",PUTEAUX,,GEBAFRPPXXX
AMEGY BANK N.A.,"HOUSTON,TX",,SWBKUS44XXX
SUEZ CANAL BANK,SUEZ,(SUEZ BRANCH),SUCAEGCXSUZ
INTESA SANPAOLO SPA,PARIS,,BCITFRPPXXX
AIZKRAUKLES BANKA,RIGA,,AIZKLV22XXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44FDC
AN BINH COMMERCIAL JOINT STOCK BANK,HANOI,,ABBKVNVXXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,PORT SAID,(EL NOURS),SBNKEGCXNRS
CAISSE D'EPARGNE DE LORRAINE CHAMPAGNE-ARDENNE,METZ,,CEPAFRPP513
BANQUE COURTOIS S.A.,TOULOUSE,,COURFR2TXXX
"CREDIT SUISSE AG, TOKYO BRANCH",TOKYO,(TOKYO BRANCH),CRESJPJTPBS
GE CORPORATE FINANCE BANK,PARIS,,CRFAFRPPXXX
HSBC BANK (VIETNAM) LTD.,BINH DUONG,,HSBCVNVX004
CREDIT AGRICOLE CHEUVREUX,COURBEVOIE,,CHVIFRPPFRO
EGYPTIAN SAUDI FINANCE BANK,CAIRO,(MAADI BRANCH),TAMSEGCAMAD
BANQUE DE GESTION PRIVEE-SIB,PARIS,,SIBLFRPPSCS
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44PPC
ALWATANY BANK OF EGYPT,CAIRO,(ROXY BRANCH),WABAEGCXROX
DEUTSCHE SECURITIES INC.,TOKYO,,DEUTJPJ7XXX
BANK KHOVANSKIY,MOSCOW,,KHOVRUMMXXX
"LATVIAN BUSINESS BANK, JOINT STOCK COMPANY",RIGA,,MOSBLV2XXXX
ARAB BANK PLC,CAIRO,(ALI AMEEN BRANCH),ARABEGCXNSA
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CXH
ARAB INVESTMENT BANK,PORT SAID,(PORT SAID BRANCH),AINBEGCAPSD
STANDARD CHARTERED BANK,DOHA,,SCBLQAQXQFC
FAISAL ISLAMIC BANK OF EGYPT,CAIRO,,FIEGEGCXXXX
EGYPTIAN GULF BANK,CAIRO,(MERGHANY BRANCH),EGGBEGCAMER
BANK OF INDIA,OSAKA,(OSAKA BRANCH),BKIDJPJTOSK
BNP PARIBAS LE CAIRE,ALEXANDRIA,(ALEXANDRIA BRANCH),BNPAEGCXALX
BANK LEUMI USA,"CHICAGO,IL",,LUMIUS3NCHI
"THE NOMURA TRUST AND BANKING CO., LTD.",TOKYO,,NMTBJPJTTAD
VEOLIA ENVIRONNEMENT SA,PARIS,,VEOEFRPPXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BINH THUAN,(BINH THUAN BRANCH),BIDVVNVX611
CP OR DEVISES,PARIS,,CPBIFRPPXXX
SUEZ CANAL BANK,CAIRO,(FOSTAT BRANCH),SUCAEGCXFOS
LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA,PARIS,,LOCYFRPPXXX
CREDIT AGRICOLE CIB,PARIS,,BSUIFRPPXXX
ROTHSCHILD AND CIE BANQUE,PARIS,,RCBPFRPRXXX
BANK URAL FD,PERM,,JSCORU4PXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BINH DUONG,(BINH DUONG BRANCH),BFTVVNVX028
ALOSTAR BANK OF COMMERCE,"BIRMINGHAM,AL",,ALOEUS44XXX
HSBC BANK PLC,PARIS,,MIDLFRPXXXX
NATIONAL BANK OF ABU DHABI,PARIS,,NBADFRPPXXX
NATIXIS,GRENOBLE,,CCBPFRPP933
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,TANTA,,DIBBEGCA03B
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,SUHAG,(SUHAG BRANCH),BDACEGCA093
FAISAL ISLAMIC BANK OF EGYPT,BANHA,(BANHA BRANCH),FIEGEGCXBNH
SAUDI EGYPTION CO. FOR SECURITIES BROKERAGE,CAIRO,,SEFTEGCAXXX
ALCOA INC.,"PITTSBURGH,PA",,ALUMUS33XXX
LA BANQUE POSTALE,CHALONS EN CHAMPAGNE,,PSSTFRPPCHA
BANK OF KHANTY-MANSIYSK OAO,NOVOSIBIRSK,(NOVOSIBIRSK BRANCH),KHANRUMM004
BANQUE POPULAIRE COTE D'AZUR,NICE,,CCBPFRPPNCE
FIDELITY SERVICE CO,"BOSTON,MA",,FIDQUS33XXX
"FIRST COMMERCIAL BANK, HO CHI MINH CITY BRANCH",HO CHI MINH CITY,,FCBKVNVXXXX
"CHINATRUST COMMERCIAL BANK, TOKYO BRANCH",TOKYO,,CTCBJPJTXXX
SVENSKA HANDELSBANKEN AB,PARIS,,HANDFRPPXXX
SUEZ CANAL BANK,TANTA,(TANTA BRANCH),SUCAEGCXTAN
BANK HAPOALIM B.M.,"MIAMI,FL",(MIAMI BRANCH),POALUS33MIA
BANQUE POPULAIRE BOURGOGNE FRANCHE COMTE,DIJON,,CCBPFRPPDJN
THE ROYAL BANK OF SCOTLAND PLC PARIS BRANCH,PARIS,,RBOSFRPPXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CTO
BANQUE EXTERIEURE D'ALGERIE,EL MILIA,(AGENCE EL MILIA),BEXADZAL097
AXA BANQUE SA,FONTENAY SOUS BOIS,,AXABFRPPXXX
THE TOCHIGI BANK LTD.,UTSUNOMIYA,,TOCIJPJTXXX
SUEZ CANAL BANK,EL MANSOURA,(EL MANSOURA BRANCH),SUCAEGCXMAN
AVERY DENNISON CORPORATION,"PASADENA,CA",,AVERUS66XXX
BANK OF LATVIA,RIGA,,LACBLV2XXXX
HANOI BUILDING COMMERCIAL JOINT STOCK BANK,HANOI,,HBBHVNVNTC3
NATIONAL BANK OF ABU DHABI,GHARBIA,(TANTA BRANCH),NBADEGCATNT
"SHOKO CHUKIN BANK, LTD., THE",TOKYO,,SKCKJPJTXXX
BANQUE DE SAVOIE S.A.,CHAMBERY,,BSAVFR2CXXX
DEUTSCHE BANK AG,PARIS,,DEUTFRPPXXX
NATIXIS,MARSEILLE,,CCBPFRPP926
BANK OF KHANTY-MANSIYSK OAO,BELOYARSKIY,(BELOYARSKIY BRANCH),KHANRUMM014
ARAB JORDAN INVESTMENT BANK (QATAR) LLC,DOHA,,AJIBQAQAXXX
BFT - BANQUE DE FINANCEMENT ET DE TRESORERIE SA,PARIS,,BFTRFRPPGES
DAIWA SECURITIES CAPITAL MARKETS CO.LTD.,TOKYO,,DWSCJPJTXXX
DANONE FINANCE S.A.,PARIS,,DAFIFRPPXXX
ABERCROMBIE AND FITCH CO.,"NEW ALBANY,OH",,ANFCUS33XXX
ALJBA ALLIANCE,MOSCOW,,ALALRUMMXXX
CHELINDBANK,MAGNITOGORSK,(MAGNITOGORSKIJ BRANCH),CHLBRU4C746
BANQUE D'ORSAY,PARIS,,BQORFRCCXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44FLC
AK BARS BANK OAO,KAZAN,,ARRSRU2KXXX
BANQUE EXTERIEURE D'ALGERIE,ORAN,(AGENCE ORAN SITE SNS),BEXADZAL079
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",PARIS,,BOTKFRCCXXX
"THE NOMURA TRUST AND BANKING CO., LTD.",TOKYO,,NMTBJPJTITA
AGF ASSET MANAGEMENT,PARIS,,AGFMFRPPXXX
CERNER CORPORATION,"KANSAS CITY,MO",,CEOAUS44XXX
ARAB BANK PLC,CAIRO,(EL-MOHANDESSEEN BRANCH),ARABEGCXMHD
FIFTH THIRD BANK,"CINCINNATI,OH",,FTBCUS3CXXX
BANK OF ALGERIA,ALGIERS,(HEAD OFFICE),BALGDZALXXX
NATIONAL BANK OF ABU DHABI,CAIRO,(TALAAT HARB BRANCH),NBADEGCATHB
IFA SECURITIES BROKERAGE,GIZA,,IFASEGCAXXX
CAISSE NATIONALE DES CAISSES D'EPARGNE ET DE PREVOYANCE,PARIS,,CEPAFRPPXXX
SOCIETE GENERALE,TOKYO,,SOGEJPJTXXX
NATIONAL BANK OF ABU DHABI,ASSUIT,(ASSIUT BRANCH),NBADEGCAASU
GFX CORPORATION,"CHICAGO,IL",,GFXCUS44XXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BAC NINH,(BAC NINH BRANCH),BFTVVNVX035
GBC INTERNATIONAL BANK,"MONTEREY PARK,CA",,GUBCUS6LXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44RI2
"SMBC FRIEND SECURITIES CO., LTD",TOKYO,,YAMTJPJTXXX
FIRST NATIONAL BANK,"OMAHA,NE",(GLOBAL BANKING GROUP),FNBOUS44CAS
CAISSE D'EPARGNE DES PAYS DE L'ADOUR,DAX,,CEPAFRPP648
AHLI BANK Q.S.C.,DOHA,(DOHA NAVAL BASE BRANCH),ABQQQAQADNB
ALCATEL-LUCENT,PARIS,,ATELFRPPXXX
SOCIETE GENERALE PRIVATE BANKING (JAPAN) LTD.,TOKYO,(TELEX AND S.W.I.F.T. MESSAGE ENQUIRIES),SGTBJPJTENQ
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(CBE PORT SAID BRANCH),CBEGEGCAPRT
BAKER HUGHES INCORPORATED,"HOUSTON,TX",,BHICUS44XXX
BANQUE MISR,ALEXANDRIA,(TALAAT HARB MAIN BRANCH),BMISEGCX401
"CHARLES SCHWAB AND CO., INC.","SAN FRANCISCO,CA",,CSCHUS6SGLB
METRO CO. FOR BOOK KEEPING AND STOCK DEALING,CAIRO,,MTROEGCAXXX
"BANQUE DUPUY, DE PARSEVAL",SETE,,BDUPFR2SXXX
BRED BANQUE POPULAIRE,PARIS,,BREDFRPPTRE
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(QUANG TRUNG BRANCH),BIDVVNVX123
ATLANTIC CENTRAL BANKERS BANK,"CAMP HILL,PA",,ATLCUS33XXX
BLOM BANK EGYPT S.A.E.,MANSURA,(MANSORA),MRBAEGCX015
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,ISMAILIA,(ISMAILIA BRANCH),BDACEGCA064
ETS J SOUFFLET,NOGENT SUR SEINE,,SOUFFR22XXX
FAISAL ISLAMIC BANK OF EGYPT,SOHAG,(SOHAG BRANCH),FIEGEGCXSOH
NATIONAL BANK OF ABU DHABI,6TH OF OCTOBER,(6TH OF OCTOBER BRANCH),NBADEGCAOCT
BANK LEUMI USA,"MIAMI,FL",(MIAMI BRANCH),LUMIUS3NMIA
CREDITIMPEX BANK,MOSCOW,,CIPXRUMMXXX
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",TOKYO,(FUNDS AND FOREIGN EXCHANGE DIVISION),BOTKJPJTFGN
CHELYABINVESTBANK,ZLATOUST,(DEMIDOVSKY BRANCH),CHINRU4CDEM
INVESCO GESTION,PARIS,,INVZFRPPXXX
BANQUE POPULAIRE OCCITANE,BALMA,,CCBPFRPPTLS
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(ARG),CITGUS44ARG
FIDELITY SERVICE CO,"BOSTON,MA",,FIDQUS3BXXX
CB HOLDING-CREDIT OOO,MOSCOW,,HOCCRUMMXXX
CB RABOBANK (CLOSED JOINT-STOCK COMPANY),MOSCOW,,RABORUMMXXX
"CHIBA BANK, LTD., THE",TOKYO,,CHBAJPJTXXX
STATE STREET TRUST AND BANKING COMPANY LIMITED,TOKYO,(INVESTMENT ADVISORY REPORTING),SSTBJPJXIAR
BANCO SANTANDER S.A. NEW YORK,"NEW YORK,NY",(NEW YORK BRANCH),BSCHUS33XXX
BLOM BANK EGYPT S.A.E.,CAIRO,(OPERA BRANCH),MRBAEGCX008
ALLY FINANCIAL INC,"CHARLOTTE,NC",(SIERRA),ALYIUS33SER
CAISSE D'EPARGNE D'ILE DE FRANCE OUEST,SAINT QUENTIN EN YVELINES,,CEPAFRPP786
FASTNET FRANCE,PARIS,,FNETFRPPXXX
EGYPTIAN SAUDI FINANCE BANK,THE TENTH OF RAMADAN,(10TH RAMADAN BRANCH),TAMSEGCAASH
EKATERINBURG BANK,EKATERINBURG,,EKNCRU4EXXX
ALWATANY BANK OF EGYPT,CAIRO,(DOKKI BRANCH FOR ISLAMIC OPERATIONS),WABAEGCXDOK
SOFAX BANQUE,COURBEVOIE,,SFAXFRPPXXX
BANK FINSERVICE JSC,MOSCOW,,KOMXRUMMXXX
"CHANG HWA COMMERCIAL BANK, LTD., NEW YORK BRANCH","NEW YORK,NY",,CCBCUS33XXX
EGYPTIAN ARAB LAND BANK,CAIRO,(EL NASR BRANCH),ARLBEGCANSR
AFGAN UNITED BANK,KABUL,,AFGUAFKAXXX
EVROFINANCE MOSNARBANK,MOSCOW,,EVRFRUMMXXX
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",,GOLDUS33002
"BANK OF FUKUOKA, LTD., THE",FUKUOKA,(HEAD OFFICE),FKBKJPJT100
A/S AKCIJU KOMERCBANKA BALTIKUMS,RIGA,,CBBRLV22XXX
BNP PARIBAS EQUITIES FRANCE,PARIS,,DBZEFRPPSET
EGYPTIAN ARAB LAND BANK,ALEXANDRIA,(TALAT HARB BRANCH),ARLBEGCATLH
ARAB AFRICAN INTERNATIONAL BANK,BOURG EL ARAB,,ARAIEGCXBRG
"LATVIAN CENTRAL DEPOSITORY,THE",RIGA,,LCDELV22XXX
SAARLB FRANCE,METZ,,SALAFR2MXXX
BANCA REGIONALE EUROPEA S.P.A.,NICE,,BREUFR22XXX
BANCO DE LA NACION ARGENTINA,"NEW YORK,NY",,NACNUS33XXX
CHARLES SCHWAB GLOBAL SERVICES CORP.,"SAN FRANCISCO,CA",,CSFXUS6SXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44C2L
ABU DHABI INTERNATIONAL BANK INC.,"WASHINGTON,DC",,ADIBUS33XXX
GENERAL ELECTRIC COMPANY,"STAMFORD,CT",,GENEUS33TKO
GILEAD SCIENCES INC.,"FOSTER CITY,CA",,GILSUS6SXXX
BARCLAYS BANK - EGYPT S.A.E.,CAIRO,(MOHANDESIEN BRANCH),BCBIEGCX005
HSBC SECURITIES EGYPT S.A.E.,CAIRO,,HCESEGCXXXX
"GOLDMAN, SACHS AND CO.","NEW CITY,NY",,GOLDUS33006
AGROINKOMBANK,ASTRAKHAN,,AGRBRU3AXXX
PHILIPPINE NATIONAL BANK TOKYO BRANCH,TOKYO,,PNBMJPJTXXX
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(EL AZHAR BRANCH),NBDEEGCXAZH
EGYPTIAN GULF BANK,EL MANSOURA,(MANSOURA BRANCH),EGGBEGCAMAN
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,EL FAYOUM,(EL FAYOUM BRANCH),BDACEGCA084
BANQUE EXTERIEURE D'ALGERIE,OUARGLA,(AGENCE OUARGLA),BEXADZAL032
DAGENERGOBANK,MAKHACHKALA,,DEBARU22XXX
NATIONAL BANK FOR DEVELOPMENT,QALIOBIA,(SHOUBRA EL RHEIMA ISLAMIC BRANCH),NBDEEGCXSHP
VINCI HOLDING,RUEIL MALMAISON,,VINCFRPPXXX
MISR IRAN DEVELOPMENT BANK,CAIRO,(ADLY BRANCH),MIDBEGCXADL
CHINFON COMMERCIAL BANK,HO CHI MINH CITY,(HO CHI MINH SUB-BRANCH),CFCBVNVXHCM
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,CAIRO,(HEAD OFFICE - UNICO BUILDING),DIBBEGCA0C2
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,CAIRO,(CAIRO BRANCH),DIBBEGCACAI
BRED BANQUE POPULAIRE,PARIS,,BREDFRPPFDF
CB GENBANK OOO,MOSCOW,,GEOORUMMXXX
LEHMAN BROTHERS INTERNATIONAL (EUROPE) PARIS BRANCH,PARIS,,SLIIFRCCXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(DIRECTION DES RELATIONS INTERNATIONALES),BEXADZALDRI
ROYAL BANK OF SCOTLAND PLC,TOKYO,(JAPAN OFFSHORE MARKET),RBOSJPJXJOM
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",PARIS,,BOTKFRPXXXX
PPR FINANCE,PARIS,,PPRFFRPPXXX
AVM L.P.,"BOCA RATON,FL",,IIIAUS33XXX
DONGA BANK,HO CHI MINH CITY,,EACBVNVXXXX
BANK OF KHANTY-MANSIYSK OAO,MOSCOW,(MOSCOW BRANCH),KHANRUMM001
AKIBANK JSC,NABEREZHNYE CHELNY,,AKOARU22XXX
SOCIETE GENERALE PRIVATE BANKING (JAPAN) LTD.,TOKYO,(TEST KEY AND BKE ADMINISTRATION),SGTBJPJTKEY
BANQUE EXTERIEURE D'ALGERIE,DJELFA,(AGENCE DJELFA),BEXADZAL031
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HUNG YEN,(HUNG YEN BRANCH),BIDVVNVX465
AGF ASSET MANAGEMENT,PARIS,,AGFMFRPPPVS
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HO CHI MINH CITY,(GIA DINH BRANCH),BIDVVNVX135
UNIVERSAL SECURITIES EXCHANGE FOR BROKERAGE,MAADI,,UNSBEGCAXXX
EUROCLEAR FRANCE SA,PARIS,,ESESFRPPPFE
CREDIT AGRICOLE CIB,LILLE,,BSUIFRPPLIL
AMERICAN INTERNATIONAL GROUP,"JERSEY CITY,NJ",,AIGXUS33XXX
RCIBANQUE S.A.,NOISY LE GRAND,,RCINFRPPXXX
BANK OF KHANTY-MANSIYSK OAO,NEFTEYUGANSK,(NEFTEYUGANSK BRANCH),KHANRUMM007
EGYPTIAN GULF BANK,THE TENTH OF RAMADAN,(THE TENTH OF RAMADAN BRANCH),EGGBEGCARAM
SIGMA SECURITIES BROKERAGE,GIZA,,SIGMEGCAXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44MFD
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(CENTRAL OPERATIONS),DEIBEGCX016
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HA TAY,(HA TAY BRANCH),BIDVVNVX450
NATIXIS,STRASBOURG,,CCBPFRPP930
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44HLD
BANQUE NEUFLIZE OBC,PARIS,,NSMBFRPPXXX
"FIRST COMMERCIAL BANK, LOS ANGELES BRANCH","LOS ANGELES,CA",,FCBKUS66XXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44ACC
FIRST TENNESSEE BANK N.A.,"MEMPHIS,TN",,FTBMUS44CAP
ARAB BANKING CORPORATION,"NEW YORK,NY",,ABCOUS33XXX
CITIBANK N.A.,DOHA,,CITIQAQAXXX
"SUMITOMO TRUST AND BANKING COMPANY, LTD., THE",TOKYO,(SBS FUCHU),STBCJPJTSBS
ALTA-BANK ZAO,MOSCOW,,ALTKRUMMXXX
BRAC AFGHANISTAN BANK,KABUL,,BABAAFKAXXX
CELGENE CORPORATION,"SUMMIT,NJ",,CELGUS3SXXX
QATAR CENTRAL BANK,DOHA,,QMAGQAQAXXX
ROYAL BANK OF SCOTLAND PLC,TOKYO,,RBOSJPJXXXX
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(SHUBRA BRANCH),DEIBEGCX040
AIB BANK,"NEW YORK,NY",,AIBKUS3TXXX
BANQUE FRANCAISE COMMERCIALE DE L'OCEAN INDIEN,PARIS,,BFCOFRPPXXX
SUEZ CANAL BANK,6TH OF OCTOBER,(6TH OF OCTOBER CITY BRANCH),SUCAEGCXOCT
NATIXIS,LE HAVRE,,CCBPFRPP923
ODDO ET CIE,PARIS,,ODDOFRPAXXX
UNION TUNISIENNE DE BANQUES,MARSEILLE,,UTUBFRPPMAR
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE BELCOURT),BEXADZAL020
ARAB BANK PLC,SHARM EL SHEIKH,(SHARM-ELSHEIKH BRANCH),ARABEGCXSHR
HSBC FRANCE,PARIS,,CCFRFRPP030
QATAR FIRST INVESTMENT BANK,DOHA,,QFIBQAQAXXX
CAIXA GERAL DE DEPOSITOS,PARIS,,CGDIFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE DES ACCREDITES),BEXADZAL017
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44MOC
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(THE TIA),CBEGEGCX002
TASWEEQ,DOHA,,TSWQQAQBXXX
CRCMM DE BRETAGNE NORMANDIE,RENNES,,CCBPFRPP149
"CREDIT SUISSE AG, TOKYO BRANCH",TOKYO,(TOKYO BRANCH),CRESJPJTXXX
HSBC BANK (VIETNAM) LTD.,CAN THO,,HSBCVNVX003
ASIA COMMERCIAL BANK,HO CHI MINH CITY,,ASCBVNVXXXX
HOUSING AND DEVELOPMENT BANK,CAIRO,,HDBKEGCAXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44EIL
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",TOKYO,(CLS CONTROL BRANCH-CONTROL DESK),BOTKJPJTCLS
SOCIETE ARABE INTERNATIONALE DE BANQUE,ALEXANDRIA,,SBNKEGCXALX
"NOMURA ASSET MANAGEMENT CO., LTD.",TOKYO,(BOND AND FINANCIAL INSTRUMENT TRADING DEPT),NAMKJPJTBFT
ABE CLEARING SAS/EBA CLEARING,PARIS,,EBAPFRPPXXX
BNP PARIBAS LE CAIRE,CAIRO,(GLEIM BRANCH),BNPAEGCXGLM
CHELINDBANK,SNEGINSK,(ISTOK BRANCH),CHLBRU4C795
HSBC FRANCE,GRASSE,,CCFRFRPP224
BANQUE POPULAIRE DE L'OUEST,RENNES,,CCBPFRPPREN
BANQUE DE GESTION PRIVEE-SIB,PARIS,,SIBLFRPPOEM
ECONOMBANK ZAO,SARATOV,,BRECRU2SXXX
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),"JERSEY CITY,NJ",(TRADE DATE MESSAGES FOR FUND ADMIN SERVICES),GSTRUS33FAT
EUROCLEAR FRANCE SA,PARIS,,ESESFRPPXXX
AF BANK,UFA,,BKAFRUMMXXX
"AWA BANK, LTD., THE",TOKUSHIMA,,AWABJPJTXXX
DOHA BANK,DUKHAN,(DUKHAN BRANCH),DOHBQAQADKB
SOCIETE MARSEILLAISE DE CREDIT,AIX EN PROVENCE,,SMCTFR2AAIX
STATE STREET TRUST AND BANKING COMPANY LIMITED,TOKYO,,SSTBJPJXXXX
EGYPTIAN GULF BANK,6TH OF OCTOBER,,EGGBEGCAOCT
SVENSKA HANDELSBANKEN AB,RIGA,,HANDLV22XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BEN TRE,(BEN TRE BRANCH),BIDVVNVX721
AHLI BANK Q.S.C.,DOHA,(MERGHAB BRANCH),ABQQQAQAMER
EGYPTIAN SAUDI FINANCE BANK,CAIRO,(NASR CITY BRANCH),TAMSEGCANSR
GURANTEE FOR BROKERAGE,CAIRO,,GRNTEGCAXXX
HSBC FRANCE,PARIS,,CCFRFRPPNTX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,QUANG BINH,(QUANG BINH BRANCH),BIDVVNVX531
BANK OF CHINA,YOKOHAMA,(YOKOHAMA BRANCH),BKCHJPJTYHA
"GLASS LEWIS AND CO, LLC","SAN FRANCISCO,CA",,GLLLUS6SXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,KHANH HOA,(KHANH HOA BRANCH),BIDVVNVX601
"AOZORA BANK, LTD",TOKYO,,NCBTJPJTXXX
"DAISAN BANK, LTD., THE",MATSUSAKA,,DSBKJPJTXXX
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(THE ACH),CBEGEGCX001
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,PHU YEN,(PHU YEN BRANCH),BIDVVNVX590
MASHREQ TRADE,GIZA,,GSTHEGCAXXX
THE ROOTS STOCK-BROKERAGE HOUSE,CAIRO,,ROOTEGCAXXX
BLOM BANK EGYPT S.A.E.,ALEXANDRIA,(SPORTING BRANCH),MRBAEGCX003
"CHARLES SCHWAB AND CO., INC.","SAN FRANCISCO,CA",,CSCHUS6SXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44FSL
BNP-PARIBAS SA,PARIS,,BNPAFRPHXXX
EGYPTIAN ARAB LAND BANK,ISMAILIA,,ARLBEGCAISM
EUROPEAN FUND ADMINISTRATION FRANCE S.A.S,PARIS,,EFALFRPPEQY
EVROPEISKY INVESTMENT COMMERCIAL BANK,KALININGRAD,,EVICRU2KXXX
ARAB INTERNATIONAL BANK,PORT SAID,(PORT SAID BRANCH),ARIBEGCX006
LVMH - MOET HENNESSY LOUIS VUITTON,PARIS,,LVMHFRPPXXX
EGYPTIAN SAUDI FINANCE BANK,GIZA,(FINANCIAL DEPARTMENT),TAMSEGCAMAL
"AGILENT TECHNOLOGIES, INC","SANTA CLARA,CA",,AGILUS6SXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE AMIROUCHE),BEXADZAL012
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(EL BORSA BRANCH),NBDEEGCXBRS
"THE NOMURA TRUST AND BANKING CO., LTD.",TOKYO,(TREASURY DEPARTMENT),NMTBJPJTFXO
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",,GOLDUS33004
SOCIETE MARSEILLAISE DE CREDIT,MARSEILLE,,SMCTFR2AXXX
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,THE TENTH OF RAMADAN,(CITY BRANCH),DIBBEGCA0A4
"BANK OF TAIWAN, TOKYO BRANCH",TOKYO,,BKTWJPJTXXX
