bank,substring
"BANCO ESPIRITO SANTO DE INVESTIMENTO, S.A.",ESSIUS3N
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCA
"SUMITOMO TRUST AND BANKING COMPANY, LTD., THE",STBCJPJT
ASSOTSIATSIYA BANK,ASOJRU2N
CREDIT LYONNAIS,CRLYFRPP
CITIGROUP GLOBAL MARKETS JAPAN INC.,NSBLJPJT
CALYON,CAINVNVX
"BANK OF SAGA, LTD., THE",BKSGJPJT
COMMERCIAL BANK OF INDIA OOO,CODLRUMM
BANCO DO ESTADO DO RIO GRANDE DO SUL-MIAMI BRANCH,BRGSUS33
EGYPTION EMIRATIES BROKERAGE,EEBCEGCA
"RESONA BANK, LTD., TRUST DEP.",DIWAJPJA
EL OROUBA BROKERAGE FIRM,OROUEGCA
"TOHO BANK, LTD., THE",TOHOJPJT
HANOI BUILDING COMMERCIAL JOINT STOCK BANK,HBBHVNVN
INVESCO GESTION,INVZFRPP
ARAB BANK PLC ALGERIA,ARABDZAL
BANCO DO BRASIL S.A,BRASUS33
BANK SADERAT IRAN - PARIS BRANCH,BSIRFRPP
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCA
FIA-BANK,FIAFRU3T
ALMAZERGIENBANK,ALMZRU8Y
EGYPTIAN GULF BANK,EGGBEGCA
PUBLICIS FINANCE SERVICES SA,PUBGFRPP
"FIRST COMMERCIAL BANK, LOS ANGELES BRANCH",FCBKUS66
EURO-VL,EUVLFRPP
AVERY DENNISON CORPORATION,AVERUS66
CPRPSNCF,CPRPFR22
"GALLIARD CAPITAL MANAGEMENT, INC",WFBIUS44
SAARLB FRANCE,SALAFR2M
BANQUE SAFRA,BSAFFRPP
FINANCIAL STANDARD CB OOO,COLDRUMM
"DAIWA NEXT BANK, LTD.",DNEXJPJT
SINOPIA ASSET MANAGEMENT,SAMFFRPP
"BANK OF CHINA, PARIS BRANCH",BKCHFRPP
NILEONE BROKERS,NIBOEGCA
"CHIBA BANK, LTD., THE",CHBAJPJT
"OSAKA CITY SHINKIN BANK, THE",OSACJPJS
