bank,city
AHLI UNITED BANK (EGYPT) S.A.E.,EL MENIA
HSBC FRANCE,STRASBOURG
ARAB AFRICAN INTERNATIONAL BANK,BOURG EL ARAB
CHELINDBANK,TRIOKHGORNY
SOCRAM BANQUE,NIORT
FIRST NIAGARA BANK,"BUFFALO,NY"
LEADERS,GIZA
RCIBANQUE S.A.,NOISY LE GRAND
QATAR CENTRAL BANK,DOHA
SOCIETE GENERALE SECURITIES (NORTH PACIFIC) LTD.,TOKYO
SUEZ CANAL BANK,ASSUIT
ASSOCIATED BANK GREEN BAY N.A.,"GREEN BAY,WI"
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,KIEN GIANG
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HA TAY
STATE STREET BANK AND TRUST COMPANY,TOKYO
BANK OF THE DEVELOPMENT OF TECHNOLOGIES (COMMERCIAL BANK),MOSCOW
COMMERCIAL INTERNATIONAL BROKERAGE COMPANY,CAIRO
HSBC FRANCE,ARRAS
THE HAMAMATSU SHINKIN BANK,SHIZUOKA
VTB BANK (FRANCE) S.A.,PARIS
"BANGKOK BANK PUBLIC COMPANY LIMITED, NEW YORK","NEW YORK,NY"
CAISSE D'EPARGNE DE BRETAGNE,CESSON SEVIGNE
EBI SA,PARIS
CAISSE D'EPARGNE AQUITAINE POITOU CHARENTES,BORDEAUX
CHINATRUST BANK (USA),"TORRANCE,CA"
ALGERIA GULF BANK,ALGIERS
CAISSE D'EPARGNE DE POITOU CHARENTES,POITIERS
GE FACTOFRANCE,PARIS
BANCO BILBAO VIZCAYA ARGENTARIA,PARIS
PRIZMA SECURITIES COMPANY,CAIRO
BANCO DO ESTADO DO RIO GRANDE DO SUL-MIAMI BRANCH,"MIAMI,FL"
FIRST COMMERCIAL BANK (USA),"ALHAMBRA,CA"
NATIONAL BANK OF ABU DHABI,EL MANSOURA
SHINKIN CENTRAL BANK,TOKYO
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,TOKYO
EGYPTIAN GULF BANK,EL MANSOURA
ARAB INVESTMENT BANK,GIZA
NATIONAL BANK OF ABU DHABI,DOMIAT
"THE BANK OF KOCHI, LIMITED",KOCHI
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HAI DUONG
BANQUE POPULAIRE DES ALPES,CORENC
DERZHAVA JSCB,MOSCOW
"BANQUE AIG, PARIS HEAD OFFICE",PARIS
IPSEN,PARIS
SOCIETE MARSEILLAISE DE CREDIT,TOULON
BANQUE EXTERIEURE D'ALGERIE,EL KHROUB
BARCLAYS CAPITAL JAPAN LTD.,TOKYO
"CENTRE ASSET MANAGEMENT, LLC","NEW YORK,NY"
DOHA SECURITIES MARKET,DOHA
MONTE PASCHI BANQUE S.A.,PARIS
BANQUE EXTERIEURE D'ALGERIE,MEDEA
BANQUE MARTIN-MAUREL,MARSEILLE
CREDIT DU NORD,LILLE
ASIA COMMERCIAL BANK,HO CHI MINH CITY
FIRST CITIZENS BANK AND TRUST CO.,"RALEIGH,NC"
SOCIETE MARSEILLAISE DE CREDIT,AVIGNON
AIG INTERNATIONAL INC.,"WILTON,CT"
BANKE MILLIE AFGHAN,KABUL
CREDIT AGRICOLE CIB,PARIS
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",HO CHI MINH CITY
FAR EASTERN COMMERCIAL BANK OAO,KHABAROVSK
GILEAD SCIENCES INC.,"FOSTER CITY,CA"
LYXOR ASSET MANAGEMENT,PARIS
ALJAZEERA EXCHANGE COMPANY,DOHA
SOCIETE GENERALE,TOKYO
CIB FINANCE,PARIS
CREDIT URAL BANK OAO,MAGNITOGORSK
NATIONAL BANK OF ABU DHABI,PORT SAID
AGROSOYUZ BANK,ORENBURG
FIRST JOINT STOCK COMMERCIAL BANK,HO CHI MINH CITY
PUNJAB NATIONAL BANK,KABUL
THE TOCHIGI BANK LTD.,UTSUNOMIYA
AMERICAN BUSINESS BANK,"LOS ANGELES,CA"
BANK OF CYPRUS COMMERCIAL BANK LLC,MOSCOW
CPR ASSET MANAGEMENT,PARIS
CREDIT EUROPE BANK LTD,MOSCOW
CREDIT AGRICOLE CIB,NANTES
EGYPTIAN ARAB LAND BANK,CAIRO
BANK MONETNY DOM,CHELYABINSK
FSA ASSET MANAGEMENT LLC,"NEW YORK,NY"
BANK OF INDIA,PARIS
"ASAHI SHINKIN BANK, THE",TOKYO
BANCA REGIONALE EUROPEA S.P.A.,NICE
BANK BFT,MOSCOW
"JPMORGAN CHASE BANK, N.A.",PARIS
ART-BANK,VLADIKAVKAZ
BANQUE THEMIS (FORMERLY BANQUE DE L'ILE DE FRANCE - B.D.E.I.),PARIS
"BANK OF AMERICA, N.A.","CHARLOTTE,NC"
EUROPE ARAB BANK PLC,PARIS
"GOLDMAN, SACHS AND CO.","NEW YORK,NY"
CATHAY BANK,"FLUSHING,NY"
ALCOA INC.,"PITTSBURGH,PA"
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,THAI NGUYEN
"LATVIAN BUSINESS BANK, JOINT STOCK COMPANY",RIGA
QATAR INTERNATIONAL ISLAMIC BANK,DOHA
UNICREDIT BANK AG (HYPOVEREINSBANK) PARIS,PARIS
BALTIC INTERNATIONAL BANK,RIGA
BANQUE EXTERIEURE D'ALGERIE,HASSI-R'MEL
SOCIETE MARSEILLAISE DE CREDIT,PERPIGNAN
HSBC FRANCE,LILLE
"BANK OF OKINAWA, LTD., THE",NAHA
SHINHAN BANK JAPAN,OSAKA
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BEN TRE
BANQUE EXTERIEURE D'ALGERIE,BISKRA
BRED GESTION,PARIS
BANQUE DU MAGHREB ARABE POUR L'INVESTISSEMENT ET LE COMMERCE,ALGIERS
CAISSE D'EPARGNE DE LOIRE DROME ARDECHE,SAINT ETIENNE
ALFA-BANK,MOSCOW
MERCEDES-BENZ FINANCIAL SERVICES,BAILLY
BLOM BANK EGYPT S.A.E.,MAADI
COMMERCIAL BANK -LANTA-BANK',KRASNOYARSK
LA BANQUE POSTALE,MARSEILLE
BANK TROIKA DIALOG,MOSCOW
REGIONALA INVESTICIJU BANKA,RIGA
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,GIA LAI
STATE BANK OF INDIA,TOKYO
BANK LEUMI USA,"CHICAGO,IL"
MONABANQ.,WASQUEHAL
BANK OF KHANTY-MANSIYSK OAO,NIZHNEVARTOVSK
EUROCLEAR FRANCE,PARIS
BANQUE ALGERIENNE DE DEVELOPPEMENT,ALGIERS
BLOM BANK EGYPT S.A.E.,DOMIAT
SOCIETE ARABE INTERNATIONALE DE BANQUE,EL MANSOURA
"THE TOKYO TANSHI CO., LTD.",TOKYO
CAISSE D'EPARGNE PROVENCE ALPES CORSE,MARSEILLE
DEAL-BANK OOO,MOSCOW
GLOBAL PETRO COMMERCIAL JOINT STOCK BANK,HANOI
AHLI UNITED BANK (EGYPT) S.A.E.,EL MANSOURA
BLOM BANK QATAR LLC,DOHA
CAISSE D'EPARGNE BRETAGNE PAYS DE LOIRE,NANTES
ARAB BANKING CORPORATION - ALGERIA,ALGIERS
EXPRESS-CREDIT BANK,MOSCOW
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BAC NINH
EGYPTIAN ARAB LAND BANK,GIZA
SOCIETE MARSEILLAISE DE CREDIT,NIMES
ATB BANK,MOSCOW
BANK TEJARAT,PARIS
ISBANK GMBH,PARIS
NILEONE BROKERS,GIZA
ARAB BANKING CORPORATION EGYPT,THE TENTH OF RAMADAN
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,PHU THO
"CHUGOKU BANK, LTD., THE",TOKYO
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HUNG YEN
"FIRST MICROFINANCE BANK LTD., THE",KABUL
LA COMPAGNIE FINANCIERE ED. DE ROTHSCHILD BANQUE,PARIS
"CHINATRUST COMMERCIAL BANK, HO CHI MINH CITY BRANCH",HO CHI MINH CIT
"GOLDMAN, SACHS AND CO.","NEW CITY,NY"
"OKAZAKI SHINKIN BANK, THE",OKAZAKI
CAISSE D'EPARGNE DE HAUTE NORMANDIE,ROUEN
LA BANQUE POSTALE,AJACCIO
"FULTON BANK, N.A.","MERCHANTVILLE,PA"
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,SUHAG
SG ASSET MANAGEMENT,PARIS
FIRST TENNESSEE BANK N.A.,"CHATTANOOGA,TN"
CHELINDBANK,KYSHTYM
CPRPSNCF,MARSEILLE
B AND N BANK (JOINT-STOCK COMPANY),MOSCOW
AMUNDI ASSET MANAGEMENT,PARIS
BANQUE EXTERIEURE D'ALGERIE,SETIF
"OGAKI KYORITSU BANK,LTD.,THE",OGAKI
CERNER CORPORATION,"KANSAS CITY,MO"
"BANK POLSKA KASA OPIEKI S.A., SUCCURSALE DE PARIS",PARIS
COMMERZBANK AG TOKYO,TOKYO
CAISSE D'EPARGNE DE LORRAINE,METZ
CAISSES D'EPARGNE PARTICIPATIONS,PARIS
LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA,PARIS
AMERICAN INTERNATIONAL GROUP,"JERSEY CITY,NJ"
NATIONAL INVESTMENT BANK,CAIRO
BANQUE BIA,PARIS
BANQUE REVILLON,PARIS
BANK OF KHANTY-MANSIYSK OAO,KHANTY-MANSIYSK
MASHREQ BANK,DOHA
EGYPTIAN SAUDI FINANCE BANK,GIZA
PIONEERS SECURITIES,CAIRO
"THE NISHI-NIPPON CITY BANK, LTD",FUKUOKA
SOCIETE MARSEILLAISE DE CREDIT,NICE
SCHRODER INVESTMENT MANAGEMENT (JAPAN) LIMITED,TOKYO
BRED BANQUE POPULAIRE,PARIS
DEUTSCHE BANK AG,TOKYO
SOCIETE MARSEILLAISE DE CREDIT,BEZIERS
SUEZ CANAL BANK,SUEZ
CREDIT MUTUEL ARKEA,BREST
HORIZON SECURITY BROKERAGE COMPANY,CAIRO
GE CORPORATE FINANCE BANK,PARIS
LUXOR SECURITIES BROKERAGE,CAIRO
CREDIT AGRICOLE CIB,MARSEILLE
FAISAL ISLAMIC BANK OF EGYPT,SUEZ
BALTIKA BANK ZAO,KALININGRAD
AS UNICREDIT BANK,RIGA
SUMITOMO MITSUI BANKING CORPORATION,OSAKA
BANCO BRADESCO S.A.,"NEW YORK,NY"
BANQUE POPULAIRE DU NORD,MARCQ EN BAROEUL
"CHINA MERCHANTS BANK CO., LTD.","NEW YORK,NY"
AMERICAN FIRST NATIONAL BANK,"HOUSTON,TX"
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,"NEW YORK,NY"
"CHUO MITSUI TRUST AND BANKING CO.,LTD.,THE",TOKYO
SAMBA FINANCIAL GROUP,DOHA
FAISAL ISLAMIC BANK OF EGYPT,SOHAG
ARAB INVESTMENT BANK,CAIRO
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HO CHI MINH CITY
BGC SHOKEN KAISHA LIMITED,TOKYO
LA BANQUE POSTALE,PARIS
ALOSTAR BANK OF COMMERCE,"BIRMINGHAM,AL"
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,NAM DINH
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,ALEXANDRIA
MONTE PASCHI BANQUE S.A.,CANNES
BANK PRIME FINANCE,ST. PETERSBURG
HALWAN BROKERAGE CO.,CAIRO
INTESA SANPAOLO SPA,PARIS
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,EL FAYOUM
CHINA CONSTRUCTION BANK NEW YORK BRANCH,"NEW YORK,NY"
"TAMA SHINKIN BANK, THE",TOKYO
LA BANQUE POSTALE,NANTES
AL ZAMAN EXCHANGE W.L.L,DOHA
CAPITAL GUARDIAN TRUST COMPANY,"BREA,CA"
MISR IRAN DEVELOPMENT BANK,PORT SAID
BANK INVESTBANK -CENTRAL' BRANCH,MOSCOW
A/S AKCIJU KOMERCBANKA BALTIKUMS,RIGA
"NOMURA ASSET MANAGEMENT CO., LTD.",TOKYO
BNP PARIBAS SECURITIES SERVICES,PARIS
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,ALEXANDRIA
BANK MOSKVA,MOSCOW
FIRST NATIONAL BANK,"NORTH PLATTE,NE"
CAISSE D'EPARGNE NORMANDIE,CAEN
"NOMURA SECURITIES CO., LTD.",TOKYO
"BANQUE LEHMAN BROTHERS S.A., PARIS",PARIS
BARCLAYS BANK - EGYPT S.A.E.,ALEXANDRIA
BMI BANK B.S.C. QATAR BRANCH,DOHA
BNP PARIBAS S.A. - TOKYO BRANCH,TOKYO
CAPITAL SECURITIES BROKERAGE,CAIRO
INTER PARFUMS S.A,PARIS
"BANCO INDUSTRIAL DE VENEZUELA, C.A. MIAMI AGENCY","MIAMI,FL"
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,QUANG NINH
"TAJIMA BANK, LTD, THE",HYOGO
BANQUE POPULAIRE DU MASSIF CENTRAL,CLERMONT FERRAND
ALEKSANDROVSKY BANK,ST. PETERSBURG
FAISAL ISLAMIC BANK OF EGYPT,BANHA
FIDELITY SERVICE CO,"BOSTON,MA"
FRANSABANK FRANCE S.A.,PARIS
BLOM BANK EGYPT S.A.E.,CAIRO
GE MONEY BANK SCA,PARIS
HSBC BANK (VIETNAM) LTD.,DA NANG
NATIXIS INTEREPARGNE,PARIS
FIRST NATIONAL BANK,"FRISCO,TX"
AFFINE SA,PARIS
"INDUSTRIAL BANK OF KOREA, HOCHIMINH BRANCH",HO CHI MINH CITY
"BANCO DE CREDITO E INVERSIONES, MIAMI BRANCH","MIAMI,FL"
BANAMEX USA,"LOS ANGELES,CA"
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,AN GIANG
"OSAKA CITY SHINKIN BANK, THE",OSAKA
CENTER-INVEST CB,ROSTOV-ON-DON
EGYPTIAN ARAB LAND BANK,PORT SAID
BNP PARIBAS LE CAIRE,CAIRO
GENERAL MOTORS HOLDINGS LLC,"DETROIT,MI"
TOTAL CAPITAL,PARIS
PAREL,PARIS
CJSC -WELCOMEBANK',PYATIGORSK
ROYAL BANK OF CANADA,TOKYO
STATE BANK OF INDIA,OSAKA
BANQUE POPULAIRE DE L'OUEST,RENNES
BARCLAYS CAPITAL LIMITED LIABILITY COMPANY,MOSCOW
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,ASSUIT
DEXIA ASSET MANAGEMENT,PARIS
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,KON TUM
HSBC BANK (VIETNAM) LTD.,HANOI
BANK RESO CREDIT,MOSCOW
LA BANQUE POSTALE,LYON
PUBLICIS FINANCE SERVICES SA,PARIS
HSBC PRIVATE BANK FRANCE,PARIS
ALWATANY BANK OF EGYPT,GIZA
UNICREDITO ITALIANO SPA - SUCCURSALE DE PARIS,PARIS
BANQUE PALATINE (FORMERLY BANQUE SANPAOLO),PARIS
CAISSE D'EPARGNE AUVERGNE LIMOUSIN,CLERMONT FERRAND
SWEDBANK AS (FORMERLY A/S HANSABANKA),RIGA
NORDEA BANK FINLAND PLC LATVIA BRANCH,RIGA
DANONE FINANCE S.A.,PARIS
BALTIK DEVELOPMENT BANK,ST. PETERSBURG
"BANK OF AMERICA, N.A. PARIS",PARIS
GOLDEN SHARE SECURITIES,CAIRO
BANQUE EXTERIEURE D'ALGERIE,BENI SAF
DEVELOPMENT CAPITAL BANK,MOSCOW
DOHA BANK,DOHA
FINANCIAL STANDARD CB OOO,MOSCOW
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BANI SUEF
BANQUE MICHEL INCHAUSPE - BAMI,BORDEAUX
MISR IRAN DEVELOPMENT BANK,GIZA
CREDIT AGRICOLE CHEUVREUX,PARIS
HOUSING AND DEVELOPMENT BANK,CAIRO
AGRICULTURAL BANK OF CHINA NEW YORK BRANCH,"NEW YORK,NY"
BANK KHOVANSKIY,MOSCOW
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO
VINCI HOLDING,RUEIL MALMAISON
SOCIETE ARABE INTERNATIONALE DE BANQUE,CAIRO
BANQUE EXTERIEURE D'ALGERIE,MOSTAGANEM
BTA BANK LLS,MOSCOW
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,KENA
CAISSE D'EPARGNE DE BOURGOGNE FRANCHE-COMTE,DIJON
PICTET ASSET MANAGEMENT (JAPAN) LTD.,TOKYO
ART ET TECHNIQUES DU PROGRES,ORLEANS
EVROFINANCE MOSNARBANK,MOSCOW
BANK OF CHINA,TOKYO
DEUTSCHE BANK OOO,MOSCOW
FIFTH THIRD BANK,"CINCINNATI,OH"
BANK NATIONAL CLEARING CENTRE,MOSCOW
BANQUE MISR,PORT SAID
BROWN BROTHERS HARRIMAN SECURITIES INVESTMENT MANAGEMENT (JAPAN) INC.,TOKYO
ABM BANK LTD,MOSCOW
BALTIK DEVELOPMENT BANK,MOSCOW
BANQUE EXTERIEURE D'ALGERIE,ORAN
"FIRST COMMERCIAL BANK, LOS ANGELES BRANCH","LOS ANGELES,CA"
IXIS ASSET MANAGEMENT,PARIS
BALTIYSKIY BANK,MOSCOW
AIG FINANCIAL PRODUCTS CORP.,"WILTON,CT"
LABCO GESTION GIE,PARIS
BANCO DE SABADELL,PARIS
"OKASAN SECURITIES CO., LTD.",TOKYO
"BANCO BPI, PARIS",PARIS
BANQUE EXTERIEURE D'ALGERIE,JIJEL
BANQUE EXTERIEURE D'ALGERIE,ANNABA
EAST-EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT,MOSCOW
LAZARD FRERES GESTION,PARIS
BANQUE FRANCAISE COMMERCIALE DE L'OCEAN INDIEN,PARIS
BANQUE POPULAIRE BOURGOGNE FRANCHE COMTE,DIJON
PANASONIC CORPORATION,OSAKA
NATIONAL BANK OF ABU DHABI,ALEXANDRIA
EGYPTIAN GULF BANK,ALEXANDRIA
FIRST PLACE BANK,"WARREN,OH"
BANCO SANTANDER S.A. NEW YORK,"NEW YORK,NY"
ARAB AFRICAN INTERNATIONAL BANK,ALEXANDRIA
FAISAL ISLAMIC BANK OF EGYPT,GIZA
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,PHU TAI
BOURSE DIRECT SA,PARIS
BANGKOK BANK PCL,HO CHI MINH CITY
ARAB BANK PLC,DOHA
CAPITAL ZAO,MOSCOW
THE ROYAL BANK OF SCOTLAND PLC PARIS BRANCH,PARIS
HSBC FRANCE,CANNES
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,ISMAILIA
AS LTB BANK,RIGA
BANK OF MOSCOW,MOSCOW
LA BANQUE POSTALE,ORLEANS
BONNA SABLA SA,PARIS
ALLIANCEBERNSTEIN JAPAN LTD,TOKYO
LATVIJAS PASTA BANKA,RIGA
CAISSE D'EPARGNE DU LANGUEDOC ROUSSILLON,MONTPELLIER
EXPORT DEVELOPMENT BANK OF EGYPT,GIZA
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,SHIBIN EL KOM
CAISSE D'EPARGNE D'ALSACE,STRASBOURG
CREDITIMPEX BANK,MOSCOW
"BNP PARIBAS, DOHA",DOHA
GHAZANFAR BANK,KABUL
BANK MELLI IRAN,PARIS
CORTAL CONSORS FRANCE,RUEIL MALMAISON
HSBC FRANCE,ROUBAIX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BINH DUONG
"AEGON USA INVESTMENT MANAGEMENT, LLC","CEDAR RAPIDS,IA"
BANK MELLI IRAN ZAO,MOSCOW
FIRST GULF BANK QATAR FINANCIAL CENTRE,DOHA
DUBUS S.A.,LILLE
"OITA BANK, LTD., THE",OITA
AIB BANK,"NEW YORK,NY"
GRAND INVESTMENT SECURITIES,GIZA
DAGENERGOBANK,MAKHACHKALA
"LATVIAN CENTRAL DEPOSITORY,THE",RIGA
UNION NATIONAL BANK-EGYPT S.A.E.,ALEXANDRIA
JAZIRA SECURITIES BROKERAGE,CAIRO
AHLI BANK Q.S.C.,DOHA
BANQUE POPULAIRE D'ALSACE,STRASBOURG
"AOZORA BANK, LTD",TOKYO
BANQUE EXTERIEURE D'ALGERIE,AIN TEMOUCHENT
"BANK NEGARA INDONESIA (PERSERO) PT., NEW YORK AGENCY","NEW YORK,NY"
BANQUE LAYDERNIER,ANNECY
CJSC BANK CREDIT SUISSE (MOSCOW),MOSCOW
BANQUE DE DEVELOPPEMENT LOCAL,ALGIERS
CREDIT AGRICOLE SECURITIES ASIA B.V.,TOKYO
"MEDICAPITAL BANK PLC, SUCCURSALE EN FRANCE",PARIS
LA BANQUE POSTALE,LIMOGES
CB HOLDING-CREDIT OOO,MOSCOW
EGYPTIAN ARAB LAND BANK,MATROUH
GIRAUD INTERNATIONAL,VITRY SUR SEINE
GLOBAL CAPITAL,CAIRO
"RBC CAPITAL MARKETS (JAPAN) LTD., TOKYO",TOKYO
PHILIPPINE NATIONAL BANK TOKYO BRANCH,TOKYO
"BANK OF SAGA, LTD., THE",TOKYO
SOCIETE ARABE INTERNATIONALE DE BANQUE,THE TENTH OF RAMADAN
BANCO BILBAO VIZCAYA ARGENTARIA TOKYO BRANCH,TOKYO
CM - CIC BANQUES,PARIS
ADMIRALTEISKY CB LTD,MOSCOW
BANK LEUMI USA,"MIAMI,FL"
ARAB BANK PLC,ALEXANDRIA
ARAB BANKING CORPORATION EGYPT,CAIRO
HSBC FRANCE,NICE
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HAI DUONG
BTA - KAZAN BANK,KAZAN
METRO CO. FOR BOOK KEEPING AND STOCK DEALING,CAIRO
EUROPEAN FUND ADMINISTRATION FRANCE S.A.S,PARIS
STANDARD CHARTERED BANK,TOKYO
